id,timestamp,batch_id,iteration,operation,algorithm,sym_key_size_bits,sig_algorithm,sig_key_param,input_filename,input_extension,input_mime,input_size_bytes,input_size_kb,input_file_category,input_entropy,output_filename,output_size_bytes,output_size_kb,output_entropy,ciphertext_expansion_pct,enc_time_ms,dec_time_ms,total_time_ms,enc_ram_kb,dec_ram_kb,enc_throughput_kbps,dec_throughput_kbps,aes_key_entropy,chacha_key_entropy,sig_size_bits,sig_valid,entropy_plaintext,entropy_aes_half,entropy_chacha_half,entropy_final,avalanche_pct,avalanche_bits_flipped,avalanche_total_bits,avalanche_deviation,byte_freq_std_dev,chi_squared
op_20260503_153829_4c1d,2026-05-03T15:38:29Z,batch_20260503_153829_92dc,7,both,hybrid,256,,,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9827,synthetic_10kb.bin.enc,10304,10.062,7.9805,0.625,0.1109,0.0503,0.1612,0.0,0.0,90171.4,200049.57,4.875,4.875,0,True,7.9827,7.9634,7.9648,7.9805,49.954,20573,41184,0.046,6.6173,278.5093
op_20260503_153829_56b8,2026-05-03T15:38:29Z,batch_20260503_153829_92dc,8,both,hybrid,256,RSA,2048,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9827,synthetic_10kb.bin.enc,10560,10.312,7.9842,3.125,46.1676,0.5536,46.7212,516.0,56.0,216.6,18628.07,4.875,4.875,2048,True,7.9827,7.9634,7.9648,7.9842,50.063,20618,41184,0.063,6.1097,231.6606
op_20260503_153829_374f,2026-05-03T15:38:29Z,batch_20260503_153829_92dc,9,both,hybrid,256,ECDSA,P-256,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9827,synthetic_10kb.bin.enc,10375,10.132,7.9819,1.3184,99.8126,0.2742,100.0868,492.0,4.0,100.19,36950.53,4.875,4.875,568,True,7.9827,7.9634,7.9648,7.9819,49.764,20495,41184,0.236,6.414,259.8692
op_20260503_153927_2fd1,2026-05-03T15:39:27Z,batch_20260503_153927_b74f,1,both,aes_gcm,256,,,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048604,1024.027,7.9998,0.0027,1.1289,0.604,1.7329,2056.0,1028.0,907077.7,1695409.34,4.875,4.8125,0,True,7.9998,7.9997,7.9997,7.9998,50.003,4194652,8388832,0.003,62.4278,243.5704
op_20260503_153927_6adb,2026-05-03T15:39:27Z,batch_20260503_153927_b74f,2,both,aes_gcm,256,RSA,2048,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048604,1024.027,7.9998,0.0027,0.888,0.424,1.312,0.0,0.0,1153153.14,2415159.01,4.875,4.8125,0,True,7.9998,7.9997,7.9997,7.9998,49.976,4192412,8388832,0.024,69.2759,299.9385
op_20260503_153928_2ed2,2026-05-03T15:39:28Z,batch_20260503_153927_b74f,3,both,aes_gcm,256,ECDSA,P-256,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048604,1024.027,7.9998,0.0027,1.395,0.6687,2.0637,0.0,0.0,734050.16,1531370.41,4.875,4.8125,0,True,7.9998,7.9997,7.9997,7.9998,50.014,4195601,8388832,0.014,60.0621,225.46
op_20260503_153928_8d16,2026-05-03T15:39:28Z,batch_20260503_153927_b74f,4,both,chacha20_poly1305,256,,,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048604,1024.027,7.9998,0.0027,0.8712,0.5378,1.409,0.0,0.0,1175390.27,1904104.32,4.875,4.8125,0,True,7.9998,7.9997,7.9997,7.9998,50.0,4194390,8388832,0.0,67.1977,282.2129
op_20260503_153928_f3a6,2026-05-03T15:39:28Z,batch_20260503_153927_b74f,5,both,chacha20_poly1305,256,RSA,2048,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048604,1024.027,7.9998,0.0027,1.2042,0.9575,2.1617,0.0,1028.0,850357.1,1069480.3,4.875,4.8125,0,True,7.9998,7.9997,7.9997,7.9998,49.994,4193947,8388832,0.006,69.16,298.9361
op_20260503_153929_f188,2026-05-03T15:39:29Z,batch_20260503_153927_b74f,6,both,chacha20_poly1305,256,ECDSA,P-256,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048604,1024.027,7.9998,0.0027,0.9859,0.7267,1.7126,0.0,4.0,1038644.96,1409147.41,4.875,4.8125,0,True,7.9998,7.9997,7.9997,7.9998,50.037,4197553,8388832,0.037,68.476,293.052
op_20260503_153929_e2a8,2026-05-03T15:39:29Z,batch_20260503_153927_b74f,7,both,hybrid,256,,,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048640,1024.062,7.9999,0.0061,1.4202,0.6172,2.0374,120.0,0.0,721025.21,1659207.1,4.875,4.8125,0,True,7.9998,7.9997,7.9997,7.9999,50.009,2097642,4194528,0.009,56.7757,201.4555
op_20260503_153929_b2ed,2026-05-03T15:39:29Z,batch_20260503_153927_b74f,8,both,hybrid,256,RSA,2048,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048896,1024.312,7.9998,0.0305,43.757,1.9642,45.7212,0.0,1092.0,23401.97,521490.95,4.875,4.8125,2048,True,7.9998,7.9997,7.9997,7.9998,49.988,2096777,4194528,0.012,62.6537,245.2684
op_20260503_153930_137e,2026-05-03T15:39:30Z,batch_20260503_153927_b74f,9,both,hybrid,256,ECDSA,P-256,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048711,1024.132,7.9998,0.0129,2.7827,2.7281,5.5108,2060.0,1088.0,367987.93,375401.13,4.875,4.8125,568,True,7.9998,7.9997,7.9997,7.9998,50.03,2098539,4194528,0.03,63.4793,251.8186
op_20260503_154047_2833,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,,,synthetic_50kb.bin,.bin,application/octet-stream,51200,50.0,other,7.9962,synthetic_50kb.bin.enc,51228,50.027,7.9963,0.0547,0.1029,0.0524,0.1553,100.0,52.0,485908.8,954721.52,5.0,4.875,0,True,7.9962,7.9919,7.9924,7.9963,50.02,204992,409824,0.02,14.3411,263.1108
op_20260503_154047_72da,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,RSA,2048,synthetic_50kb.bin,.bin,application/octet-stream,51200,50.0,other,7.9962,synthetic_50kb.bin.enc,51228,50.027,7.9963,0.0547,0.0951,0.0518,0.1469,0.0,0.0,525762.21,965777.99,5.0,4.875,0,True,7.9962,7.9919,7.9924,7.9963,50.146,205512,409824,0.146,14.2293,259.023
op_20260503_154047_78c3,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,ECDSA,P-256,synthetic_50kb.bin,.bin,application/octet-stream,51200,50.0,other,7.9962,synthetic_50kb.bin.enc,51228,50.027,7.9959,0.0547,0.1466,0.0456,0.1922,0.0,0.0,341064.23,1097090.92,5.0,4.875,0,True,7.9962,7.9919,7.9924,7.9959,49.968,204780,409824,0.032,15.0435,289.5164
op_20260503_154047_877f,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,,,synthetic_50kb.bin,.bin,application/octet-stream,51200,50.0,other,7.9962,synthetic_50kb.bin.enc,51228,50.027,7.9965,0.0547,0.0872,0.0453,0.1325,0.0,0.0,573393.96,1104356.48,5.0,4.875,0,True,7.9962,7.9919,7.9924,7.9965,49.993,204882,409824,0.007,13.8667,245.9902
op_20260503_154047_2216,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,RSA,2048,synthetic_50kb.bin,.bin,application/octet-stream,51200,50.0,other,7.9962,synthetic_50kb.bin.enc,51228,50.027,7.9963,0.0547,0.1032,0.0538,0.157,0.0,0.0,484496.26,929877.25,5.0,4.875,0,True,7.9962,7.9919,7.9924,7.9963,49.988,204863,409824,0.012,14.3746,264.3401
op_20260503_154047_8675,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,ECDSA,P-256,synthetic_50kb.bin,.bin,application/octet-stream,51200,50.0,other,7.9962,synthetic_50kb.bin.enc,51228,50.027,7.9958,0.0547,0.1321,0.0518,0.1839,0.0,0.0,378500.92,965777.99,5.0,4.875,0,True,7.9962,7.9919,7.9924,7.9958,49.953,204721,409824,0.047,15.179,294.7535
op_20260503_154047_407a,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,hybrid,256,,,synthetic_50kb.bin,.bin,application/octet-stream,51200,50.0,other,7.9962,synthetic_50kb.bin.enc,51264,50.062,7.9965,0.125,0.3922,0.0684,0.4606,0.0,0.0,127485.95,731907.3,5.0,4.875,0,True,7.9962,7.9919,7.9924,7.9965,49.968,102447,205024,0.032,13.8922,246.7216
op_20260503_154047_11d9,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,hybrid,256,RSA,2048,synthetic_50kb.bin,.bin,application/octet-stream,51200,50.0,other,7.9962,synthetic_50kb.bin.enc,51520,50.312,7.9965,0.625,48.614,0.8142,49.4282,16.0,4.0,1028.51,61793.78,5.0,4.875,2048,True,7.9962,7.9919,7.9924,7.9965,49.893,102292,205024,0.107,14.0815,252.2335
op_20260503_154047_13f0,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,hybrid,256,ECDSA,P-256,synthetic_50kb.bin,.bin,application/octet-stream,51200,50.0,other,7.9962,synthetic_50kb.bin.enc,51334,50.131,7.9962,0.2617,0.9247,0.4238,1.3485,4.0,0.0,54071.59,118288.96,5.0,4.875,560,True,7.9962,7.9919,7.9924,7.9962,50.054,102623,205024,0.054,14.5996,272.1171
op_20260503_154047_0bc1,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,,,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9822,synthetic_10kb.bin.enc,10268,10.027,7.9808,0.2734,0.0935,0.0175,0.111,64.0,0.0,106951.86,572994.33,5.0,4.875,0,True,7.9822,7.9651,7.9648,7.9808,49.918,41005,82144,0.082,6.4907,268.8882
op_20260503_154047_f82f,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,RSA,2048,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9822,synthetic_10kb.bin.enc,10268,10.027,7.9832,0.2734,0.0621,0.0163,0.0784,0.0,0.0,161030.58,615174.17,5.0,4.875,0,True,7.9822,7.9651,7.9648,7.9832,49.928,41013,82144,0.072,6.0754,235.5793
op_20260503_154047_ef0e,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,ECDSA,P-256,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9822,synthetic_10kb.bin.enc,10268,10.027,7.9835,0.2734,0.0675,0.0179,0.0854,0.0,0.0,148148.04,560186.18,5.0,4.875,0,True,7.9822,7.9651,7.9648,7.9835,50.234,41264,82144,0.234,6.0127,230.7425
op_20260503_154047_7a4d,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,,,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9822,synthetic_10kb.bin.enc,10268,10.027,7.9817,0.2734,0.0644,0.0219,0.0863,0.0,0.0,155279.44,457868.53,5.0,4.875,0,True,7.9822,7.9651,7.9648,7.9817,50.001,41073,82144,0.001,6.3378,256.3724
op_20260503_154047_2033,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,RSA,2048,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9822,synthetic_10kb.bin.enc,10268,10.027,7.9818,0.2734,0.0562,0.0161,0.0723,0.0,0.0,177935.69,622816.14,5.0,4.875,0,True,7.9822,7.9651,7.9648,7.9818,50.11,41162,82144,0.11,6.3747,259.3642
op_20260503_154047_c3f5,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,ECDSA,P-256,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9822,synthetic_10kb.bin.enc,10268,10.027,7.9826,0.2734,0.0544,0.0153,0.0697,0.0,0.0,183823.7,655381.94,5.0,4.875,0,True,7.9822,7.9651,7.9648,7.9826,49.892,40983,82144,0.108,6.1831,244.0062
op_20260503_154047_ee0d,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,hybrid,256,,,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9822,synthetic_10kb.bin.enc,10304,10.062,7.981,0.625,0.1411,0.0622,0.2033,0.0,0.0,70871.71,161776.51,5.0,4.875,0,True,7.9822,7.9651,7.9648,7.981,50.107,20636,41184,0.107,6.4994,268.6708
op_20260503_154047_a04c,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,hybrid,256,RSA,2048,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9822,synthetic_10kb.bin.enc,10560,10.312,7.9819,3.125,46.0705,0.2903,46.3608,40.0,0.0,217.06,35523.6,5.0,4.875,2048,True,7.9822,7.9651,7.9648,7.9819,49.939,20567,41184,0.061,6.5557,266.7152
op_20260503_154047_0074,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,hybrid,256,ECDSA,P-256,synthetic_10kb.bin,.bin,application/octet-stream,10240,10.0,other,7.9822,synthetic_10kb.bin.enc,10376,10.133,7.9838,1.3281,0.4029,0.2276,0.6305,0.0,0.0,24820.05,44520.27,5.0,4.875,576,True,7.9822,7.9651,7.9648,7.9838,49.558,20410,41184,0.442,6.0833,233.7394
op_20260503_154047_38aa,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,,,synthetic_100kb.bin,.bin,application/octet-stream,102400,100.0,other,7.9983,synthetic_100kb.bin.enc,102428,100.027,7.9984,0.0273,0.1379,0.1238,0.2617,88.0,104.0,725163.15,807975.24,5.0,4.875,0,True,7.9983,7.9965,7.9966,7.9984,49.966,409433,819424,0.034,18.7088,223.9511
op_20260503_154047_4a87,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,RSA,2048,synthetic_100kb.bin,.bin,application/octet-stream,102400,100.0,other,7.9983,synthetic_100kb.bin.enc,102428,100.027,7.9983,0.0273,0.1014,0.1626,0.264,0.0,0.0,986193.71,615174.04,5.0,4.875,0,True,7.9983,7.9965,7.9966,7.9983,49.991,409640,819424,0.009,19.5707,245.0603
op_20260503_154047_5d14,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,ECDSA,P-256,synthetic_100kb.bin,.bin,application/octet-stream,102400,100.0,other,7.9983,synthetic_100kb.bin.enc,102428,100.027,7.9978,0.0273,0.1085,0.0669,0.1754,0.0,0.0,921658.89,1495176.06,5.0,4.875,0,True,7.9983,7.9965,7.9966,7.9978,50.069,410277,819424,0.069,21.8166,304.5341
op_20260503_154047_9b94,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,,,synthetic_100kb.bin,.bin,application/octet-stream,102400,100.0,other,7.9983,synthetic_100kb.bin.enc,102428,100.027,7.9983,0.0273,0.1404,0.137,0.2774,0.0,0.0,712250.6,730126.62,5.0,4.875,0,True,7.9983,7.9965,7.9966,7.9983,49.915,409013,819424,0.085,19.4987,243.2608
op_20260503_154047_bb56,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,RSA,2048,synthetic_100kb.bin,.bin,application/octet-stream,102400,100.0,other,7.9983,synthetic_100kb.bin.enc,102428,100.027,7.9983,0.0273,0.1236,0.0789,0.2025,0.0,0.0,809061.42,1267775.26,5.0,4.875,0,True,7.9983,7.9965,7.9966,7.9983,50.077,410339,819424,0.077,19.5906,245.5602
op_20260503_154047_4a0e,2026-05-03T15:40:47Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,ECDSA,P-256,synthetic_100kb.bin,.bin,application/octet-stream,102400,100.0,other,7.9983,synthetic_100kb.bin.enc,102428,100.027,7.9981,0.0273,0.3045,0.1074,0.4119,0.0,0.0,328407.24,931353.27,5.0,4.875,0,True,7.9983,7.9965,7.9966,7.9981,49.915,409016,819424,0.085,20.7181,274.6372
op_20260503_154048_ce42,2026-05-03T15:40:48Z,batch_20260503_154047_6b0f,1,both,hybrid,256,,,synthetic_100kb.bin,.bin,application/octet-stream,102400,100.0,other,7.9983,synthetic_100kb.bin.enc,102464,100.062,7.9982,0.0625,0.2264,0.0892,0.3156,44.0,0.0,441695.93,1121777.15,5.0,4.875,0,True,7.9983,7.9965,7.9966,7.9982,49.935,204647,409824,0.065,19.9307,254.0712
op_20260503_154048_0db9,2026-05-03T15:40:48Z,batch_20260503_154047_6b0f,1,both,hybrid,256,RSA,2048,synthetic_100kb.bin,.bin,application/octet-stream,102400,100.0,other,7.9983,synthetic_100kb.bin.enc,102720,100.312,7.9984,0.3125,45.2044,0.5574,45.7618,20.0,0.0,2212.17,179965.0,5.0,4.875,2048,True,7.9983,7.9965,7.9966,7.9984,50.134,205462,409824,0.134,18.6797,222.6193
op_20260503_154048_3fa7,2026-05-03T15:40:48Z,batch_20260503_154047_6b0f,1,both,hybrid,256,ECDSA,P-256,synthetic_100kb.bin,.bin,application/octet-stream,102400,100.0,other,7.9983,synthetic_100kb.bin.enc,102535,100.132,7.9985,0.1318,1.1152,0.6402,1.7554,0.0,0.0,89670.01,156407.12,5.0,4.875,568,True,7.9983,7.9965,7.9966,7.9985,49.993,204885,409824,0.007,18.478,218.2318
op_20260503_154048_01a0,2026-05-03T15:40:48Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,,,synthetic_500kb.bin,.bin,application/octet-stream,512000,500.0,other,7.9997,synthetic_500kb.bin.enc,512028,500.027,7.9996,0.0055,0.8245,0.3824,1.2069,804.0,512.0,606428.14,1307602.88,5.0,4.875,0,True,7.9997,7.9993,7.9993,7.9996,49.996,2047938,4096224,0.004,44.2968,251.1487
op_20260503_154048_ad4f,2026-05-03T15:40:48Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,RSA,2048,synthetic_500kb.bin,.bin,application/octet-stream,512000,500.0,other,7.9997,synthetic_500kb.bin.enc,512028,500.027,7.9996,0.0055,0.7965,0.3385,1.135,4.0,0.0,627746.38,1477186.09,5.0,4.875,0,True,7.9997,7.9993,7.9993,7.9996,49.987,2047585,4096224,0.013,44.9735,258.8803
op_20260503_154048_93a4,2026-05-03T15:40:48Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,ECDSA,P-256,synthetic_500kb.bin,.bin,application/octet-stream,512000,500.0,other,7.9997,synthetic_500kb.bin.enc,512028,500.027,7.9997,0.0055,0.5447,0.2798,0.8245,4.0,0.0,917936.55,1787088.95,5.0,4.875,0,True,7.9997,7.9993,7.9993,7.9997,49.977,2047189,4096224,0.023,43.6639,244.0231
op_20260503_154048_d490,2026-05-03T15:40:48Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,,,synthetic_500kb.bin,.bin,application/octet-stream,512000,500.0,other,7.9997,synthetic_500kb.bin.enc,512028,500.027,7.9996,0.0055,1.6758,0.9303,2.6061,4.0,0.0,298364.97,537490.44,5.0,4.875,0,True,7.9997,7.9993,7.9993,7.9996,50.0,2048093,4096224,0.0,46.9856,282.563
op_20260503_154049_57c0,2026-05-03T15:40:49Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,RSA,2048,synthetic_500kb.bin,.bin,application/octet-stream,512000,500.0,other,7.9997,synthetic_500kb.bin.enc,512028,500.027,7.9997,0.0055,0.7104,0.3663,1.0767,4.0,4.0,703828.89,1365076.03,5.0,4.875,0,True,7.9997,7.9993,7.9993,7.9997,50.009,2048492,4096224,0.009,43.2236,239.1264
op_20260503_154049_fb5c,2026-05-03T15:40:49Z,batch_20260503_154047_6b0f,1,both,chacha20_poly1305,256,ECDSA,P-256,synthetic_500kb.bin,.bin,application/octet-stream,512000,500.0,other,7.9997,synthetic_500kb.bin.enc,512028,500.027,7.9996,0.0055,0.7093,0.4749,1.1842,4.0,0.0,704920.3,1052910.79,5.0,4.875,0,True,7.9997,7.9993,7.9993,7.9996,50.005,2048313,4096224,0.005,45.9493,270.2367
op_20260503_154049_ab6b,2026-05-03T15:40:49Z,batch_20260503_154047_6b0f,1,both,hybrid,256,,,synthetic_500kb.bin,.bin,application/octet-stream,512000,500.0,other,7.9997,synthetic_500kb.bin.enc,512064,500.062,7.9996,0.0125,0.9751,0.8834,1.8585,4.0,0.0,512767.87,566065.78,5.0,4.875,0,True,7.9997,7.9993,7.9993,7.9996,50.022,1024562,2048224,0.022,47.5839,289.7848
op_20260503_154049_8a37,2026-05-03T15:40:49Z,batch_20260503_154047_6b0f,1,both,hybrid,256,RSA,2048,synthetic_500kb.bin,.bin,application/octet-stream,512000,500.0,other,7.9997,synthetic_500kb.bin.enc,512320,500.312,7.9996,0.0625,48.3486,1.4005,49.7491,0.0,760.0,10341.56,357238.5,5.0,4.875,2048,True,7.9997,7.9993,7.9993,7.9996,49.981,1023724,2048224,0.019,45.7433,267.6657
op_20260503_154049_68ca,2026-05-03T15:40:49Z,batch_20260503_154047_6b0f,1,both,hybrid,256,ECDSA,P-256,synthetic_500kb.bin,.bin,application/octet-stream,512000,500.0,other,7.9997,synthetic_500kb.bin.enc,512135,500.132,7.9996,0.0264,3.0154,1.3022,4.3176,508.0,4.0,165815.48,384066.83,5.0,4.875,568,True,7.9997,7.9993,7.9993,7.9996,49.977,1023649,2048224,0.023,46.2072,273.2219
op_20260503_154050_fb7b,2026-05-03T15:40:50Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,,,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048604,1024.027,7.9998,0.0027,1.325,0.5561,1.8811,2056.0,1028.0,772830.14,1841444.84,5.0,4.875,0,True,7.9998,7.9996,7.9997,7.9998,50.019,4196036,8388832,0.019,66.1538,273.5129
op_20260503_154050_d2dc,2026-05-03T15:40:50Z,batch_20260503_154047_6b0f,1,both,aes_gcm,256,RSA,2048,synthetic_1024kb.bin,.bin,application/octet-stream,1048576,1024.0,other,7.9998,synthetic_1024kb.bin.enc,1048604,1024.027,7.9998,0.0027,1.2029,0.5116,1.7145,0.0,0.0,851276.11,2001616.96,5.0,4.875,0,True,7.9998,7.9996,7.9997,7.9998,50.019,4196003,8388832,0.019,62.5359,244.4146
